crime,number,location,BEAT,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,county,postcode,ZONE,crimeid_x,dateid,neighborhoodid,npuid,neighbourhood_lookupid,locationid,BEATid,ZONEid,day,month,quarter,year,count_crime_type
LARCENY-NON VEHICLE,92991017,18 MONTGOMERY ST SE,610,Kirkwood,O,33.75297,-84.33944,house_number,Montgomery Street Southeast,Edgewood,DeKalb County,30317,6,3,223,61,10,12,7030,54,3,26,10,4,2009,1
LARCENY-FROM VEHICLE,92991026,825 MARTIN LUTHER KING JR DR NW,102,Vine City,L,33.7547,-84.41277,house_number,James P Brawley Drive Northwest,Vine City,Fulton County,30314,1,2,223,35,17,46,7031,37,5,26,10,4,2009,1
LARCENY-NON VEHICLE,92991028,1957 MYRTLE DR SW,410,Campbellton Road,R,33.70296,-84.45512,house_number,Myrtle Drive Southwest,Adams Park,Fulton County,30311,4,3,223,4,4,4,7032,4,1,26,10,4,2009,1
ROBBERY-PEDESTRIAN,92991051,W LAKE AVE NW / NORTH AVE NW,107,Grove Park,J,33.76805,-84.44101,house_number,West Lake Avenue Northwest,Grove Park,Fulton County,30318,1,4,223,26,6,43,4743,63,5,26,10,4,2009,1
BURGLARY-RESIDENCE,92991059,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863,house_number,Campbellton Road Southwest,Adams Park,Fulton County,30311,4,7,223,43,21,4,87,46,1,26,10,4,2009,1
BURGLARY-RESIDENCE,92991124,2285 RIDGEDALE RD NE,610,Kirkwood,O,33.75262,-84.31277,house_number,Ridgedale Road Northeast,East Lake,DeKalb County,30317,6,7,223,61,10,72,7033,54,3,26,10,4,2009,1
LARCENY-NON VEHICLE,92970694,12 BROAD STREET,511,Downtown,M,33.7532,-84.39201,amenity,Alabama Street Southwest,Five Points,Fulton County,30303,5,3,224,5,3,9,139,25,4,25,10,4,2009,1
AUTO THEFT,92980001,937 CAMILLA ST SW,104,Ashview Heights,T,33.7506,-84.41819,house_number,Camilla Street Southwest,Atlanta University Center,Fulton County,30314,1,1,224,44,1,15,7034,47,5,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980094,131 HOWARD ST NE,610,Kirkwood,O,33.75579,-84.32276,house_number,Howard Street Northeast,Kirkwood,DeKalb County,30317,6,2,224,61,10,54,7035,54,3,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980100,696 SOMERSET TER NE,601,Poncey-Highland,N,33.7738,-84.36236,house_number,Somerset Terrace Northeast,Linwood,Fulton County,30306,6,2,224,64,5,30,7036,32,3,25,10,4,2009,1
LARCENY-NON VEHICLE,92980140,640 MAYLAND AVE SW ,301,Adair Park,V,33.72449,-84.40856,house_number,Mayland Avenue Southwest,Pittsburgh,Fulton County,30310,3,3,224,53,8,31,7037,2,2,25,10,4,2009,1
BURGLARY-RESIDENCE,92980157,939 GREENWOOD AVE NE,601,Virginia Highland,F,33.7763,-84.35603,house_number,Greenwood Avenue Northeast,Virginia Highland,Fulton County,30306,6,7,224,69,16,62,7038,32,3,25,10,4,2009,1
ROBBERY-COMMERCIAL,92980185,608 MCDANIEL ST SW,303,Mechanicsville,V,33.73845,-84.40164,house_number,McDaniel Street Southwest,Mechanicsville,Fulton County,30312,3,11,224,9,8,10,7039,10,2,25,10,4,2009,1
ROBBERY-PEDESTRIAN,92980186,OAKHILL AVE SW / LILLIAN AVE SW,301,Adair Park,V,33.73117,-84.40931,house_number,Lillian Avenue Southwest,Pittsburgh,Fulton County,30310,3,4,224,53,8,31,7040,2,2,25,10,4,2009,1
BURGLARY-RESIDENCE,92980260,2169 HOSEA L WILLIAMS DR SE,610,Kirkwood,O,33.75084,-84.31668,house_number,Hosea L Williams Drive Southeast,Kirkwood,DeKalb County,30317,6,7,224,61,10,54,7041,54,3,25,10,4,2009,1
AUTO THEFT,92980273,152 LUCKIE ST NW,508,Downtown,M,33.75869,-84.39147,amenity,Luckie Street Northwest,Five Points,Fulton County,30303,5,1,224,5,3,9,2287,9,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980317,WALTON ST NW / FAIRLIE ST NW,508,Downtown,M,33.75647,-84.39083,house_number,Walton Street Northwest,Five Points,Fulton County,30303,5,2,224,5,3,9,7042,9,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980335,705 CHURCH ST NW,109,Center Hill,J,33.77444,-84.46727,house_number,Church Street Northwest,Center Hill,Fulton County,30318,1,2,224,7,6,7,7043,7,5,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980343,SPRING ST NW / IVAN ALLEN JR BLVD NW,504,Downtown,M,33.76468,-84.38897,tourism,Ted Turner Drive Northwest,Hotel District,Fulton County,30308,5,2,224,5,3,5,7044,45,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980419,IVAN ALLEN JR BLVD NW / SPRING ST NW,508,Downtown,M,33.76465,-84.39115,house_number,Ivan Allen Jr Boulevard,Hotel District,Fulton County,30313,5,2,224,5,3,5,7045,9,4,25,10,4,2009,1
BURGLARY-RESIDENCE,92980427,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177,house_number,McDaniel Street Southwest,Pittsburgh,Fulton County,30310,3,7,224,31,8,31,47,33,2,25,10,4,2009,1
ROBBERY-PEDESTRIAN,92980430,177 FAIRFIELD PL NW,108,Dixie Hills,J,33.75897,-84.46289,house_number,Fairfield Place Northwest,Dixie Hills,Fulton County,30314,1,4,224,21,6,21,7046,22,5,25,10,4,2009,1
LARCENY-NON VEHICLE,92980445,507 JOSEPH E LOWERY BLVD SW,401,West End,T,33.74097,-84.41809,amenity,Joseph E. Lowery Boulevard,Joel Chandler Harris Homes,Fulton County,30310,4,3,224,1,1,64,5388,1,1,25,10,4,2009,1
LARCENY-NON VEHICLE,92980462,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813,shop,Hardee Street Northeast,Edgewood,DeKalb County,30307,6,3,224,11,10,12,147,12,3,25,10,4,2009,1
AUTO THEFT,92980476,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292,house_number,Etheridge Drive Northwest,Carey Park,Fulton County,30318,1,1,224,75,22,40,452,53,5,25,10,4,2009,1
AGG ASSAULT,92980480,1726 LISBON DR SW,306,Sylvan Hills,X,33.70638,-84.41243,house_number,Lisbon Drive Southwest,Sylvan Hills,Fulton County,30310,3,5,224,39,2,38,7047,42,2,25,10,4,2009,1
AUTO THEFT,92980514,191 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73701,-84.39419,house_number,Ralph David Abernathy Boulevard,Mechanicsville,Fulton County,30312,3,1,224,9,8,10,7048,10,2,25,10,4,2009,1
BURGLARY-NONRES,92980518,2804 YATES DR NW,113,Brookview Heights,G,33.7805,-84.47961,house_number,Yates Drive Northwest,Collier Heights,Fulton County,30318,1,8,224,88,22,59,7049,53,5,25,10,4,2009,1
LARCENY-NON VEHICLE,92980547,1460 W PEACHTREE ST NW,502,Midtown,E,33.79409,-84.38788,house_number,US 19;GA 9,Ansley Park,Fulton County,30309,5,3,224,25,11,48,7050,43,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980624,COSMOPOLITAN DR NE / ADINA DR NE,211,Lindbergh/Morosgo,B,33.82153,-84.36323,house_number,Adina Drive Northeast,Lindbergh,Fulton County,30324,2,2,224,8,7,8,7051,8,6,25,10,4,2009,1
AUTO THEFT,92980672,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68149,-84.37152,house_number,Cleveland Avenue Southeast,Rosedale Heights,Fulton County,30354,3,1,224,66,20,60,321,49,2,25,10,4,2009,1
AUTO THEFT,92980675,565 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74651,-84.40675,house_number,Greensferry Avenue Southwest,Atlanta University Center,Fulton County,30314,1,1,224,14,1,15,333,15,5,25,10,4,2009,1
AUTO THEFT,92980684,180 CARROLL ST SE,606,Cabbagetown,N,33.74962,-84.36791,house_number,Carroll Street Southeast,Cabbagetown,Fulton County,30312,6,1,224,55,5,67,850,51,3,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980713,417 10TH ST NE,503,Midtown,E,33.78168,-84.37345,house_number,10th Street Northeast,Midtown,Fulton County,30309,5,2,224,25,11,24,7052,27,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980767,I-20 WB EXPY NW / MARTIN L KING JR DR NW,104,Penelope Neighbors,J,33.75095,-84.44468,road,Ralph David Abernathy Freeway,Battle Hill Haven,Fulton County,30314,1,2,224,86,6,51,365,47,5,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980773,20 MARIETTA ST,511,Downtown,M,33.75468,-84.39042,building,Marietta Street,Five Points,Fulton County,30303,5,2,224,5,3,9,1449,25,4,25,10,4,2009,1
AUTO THEFT,92980783,925 PINEHURST TER SW,402,Oakland City,S,33.72999,-84.43164,house_number,Pinehurst Terrace Southwest,West End,Fulton County,30310,4,1,224,99,21,1,7053,35,1,25,10,4,2009,1
AUTO THEFT,92980807,170 NORTHSIDE DR SW,507,Castleberry Hill,M,33.7499,-84.40371,amenity,Northside Drive Southwest,Castleberry Hill,Fulton County,30313,5,1,224,13,3,14,1319,14,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980812,1307 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.76654,-84.3785,road,Renaissance Way NE,Hotel District,Fulton County,30308,6,2,224,3,3,5,7054,61,3,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980828,255 COURTLAND ST NE,509,Downtown,M,33.76157,-84.38314,tourism,Courtland Street Northeast,Hotel District,Fulton County,30303,5,2,224,5,3,5,1267,5,4,25,10,4,2009,1
BURGLARY-RESIDENCE,92980832,525 WHITEHALL TER SW,303,Mechanicsville,V,33.74116,-84.40181,house_number,Whitehall Terrace Southwest,Mechanicsville,Fulton County,30312,3,7,224,9,8,10,7055,10,2,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980921,850 PIEDMONT AVE,505,Midtown,E,33.77778,-84.38137,house_number,Piedmont Avenue Northeast,Midtown,Fulton County,30305,5,2,224,25,11,24,4611,26,4,25,10,4,2009,1
BURGLARY-RESIDENCE,92960968,602 WESTERN ST,103,English Avenue,L,33.76476,-84.40721,house_number,Western Avenue Northwest,English Ave.,Fulton County,30314,1,7,224,37,17,22,7056,39,5,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980954,855 W PEACHTREE ST NE,505,Midtown,E,33.77773,-84.38718,building,West Peachtree Street Northwest,Midtown,Fulton County,30308,5,2,224,25,11,24,1887,26,4,25,10,4,2009,1
BURGLARY-RESIDENCE,92980973,32 PARK AVE SE,305,South Atlanta,Y,33.71209,-84.38381,house_number,Park Avenue Southeast,Roseland,Fulton County,30315,3,7,224,48,12,16,7057,16,2,25,10,4,2009,1
LARCENY-FROM VEHICLE,92980995,1041 W PEACHTREE ST NE,503,Midtown,E,33.78306,-84.38746,tourism,West Peachtree Street Northwest,Midtown,Fulton County,30309,5,2,224,25,11,24,7058,27,4,25,10,4,2009,1
BURGLARY-RESIDENCE,92981040,422 BRYAN ST SE,605,Grant Park,W,33.74378,-84.37388,house_number,Bryan Street Southeast,Cabbagetown,Fulton County,30312,6,7,224,10,9,67,7059,11,3,25,10,4,2009,1
BURGLARY-RESIDENCE,92981052,1051 ADA AVE NW,109,Almond Park,G,33.78313,-84.46423,house_number,Ada Avenue Northwest,Carey Park,Fulton County,30318,1,7,224,47,22,40,7060,7,5,25,10,4,2009,1
BURGLARY-RESIDENCE,92981078,1093 WEST AVE SW,302,Pittsburgh,V,33.72494,-84.39593,house_number,West Avenue Southwest,Pittsburgh,Fulton County,30315,3,7,224,31,8,31,621,33,2,25,10,4,2009,1
LARCENY-NON VEHICLE,92981102,3885 JONESBORO RD SE,313,South River Gardens,Z,33.64883,-84.36584,amenity,Jonesboro Road Southeast,Doral Park,Fulton County,30354,3,3,224,63,20,55,451,55,2,25,10,4,2009,1
BURGLARY-RESIDENCE,92981140,2800 BROWNTOWN RD NW,113,Lincoln Homes,G,33.8014,-84.47999,house_number,Browntown Road Northwest,Chattahoochee,Fulton County,30318,1,7,224,141,22,73,7061,53,5,25,10,4,2009,1
LARCENY-NON VEHICLE,92981150,892 HIGHLAND VW NE,601,Virginia Highland,F,33.77936,-84.35823,house_number,Highland View Northeast,Virginia Highland,Fulton County,30306,6,3,224,69,16,62,7062,32,3,25,10,4,2009,1
BURGLARY-RESIDENCE,92981169,448 CALHOUN ST NW,501,Home Park,E,33.7827,-84.4018,house_number,Calhoun Street Northwest,Home Park,Fulton County,30318,5,7,224,46,11,44,7063,48,4,25,10,4,2009,1
LARCENY-NON VEHICLE,92981281,1801 HOWELL MILL RD.,204,Underwood Hills,D,33.80479,-84.41455,amenity,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,224,85,15,27,5004,29,6,25,10,4,2009,1
LARCENY-FROM VEHICLE,92981346,1123 PEACHTREE WALK NE,503,Midtown,E,33.7854,-84.38604,house_number,Peachtree Walk Northeast,Midtown,Fulton County,30309,5,2,224,25,11,24,7064,27,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92981365,794 N. HIGHLAND AVE,601,Atkins Park,F,33.77542,-84.3525,house_number,North Highland Avenue Northeast,Virginia Highland,Fulton County,30306,6,2,224,30,16,62,7065,32,3,25,10,4,2009,1
ROBBERY-PEDESTRIAN,92981375,70 MORELAND AVE SE,609,Edgewood,O,33.75161,-84.34892,house_number,Moreland Avenue Southeast,Edgewood,Fulton County,30307,6,4,224,11,10,12,6245,12,3,25,10,4,2009,1
AUTO THEFT,92981383,385 W LAKE AVE NW,107,Grove Park,J,33.7659,-84.44074,house_number,West Lake Avenue Northwest,Grove Park,Fulton County,30318,1,1,224,26,6,43,6985,63,5,25,10,4,2009,1
BURGLARY-RESIDENCE,92981441,358 CAIRO ST NW,106,Bankhead,K,33.76461,-84.41971,house_number,Cairo Street Northwest,English Ave.,Fulton County,30314,1,7,224,23,14,22,7066,23,5,25,10,4,2009,1
AUTO THEFT,92981446,1421 BEECHER ST SW,402,West End,T,33.7336,-84.4342,house_number,Beecher Street Southwest,Westview,Fulton County,30310,4,1,224,1,1,18,7067,35,1,25,10,4,2009,1
LARCENY-FROM VEHICLE,92981488,3950 CORNELL BLVD SW,407,Baker Hills,H,33.75875,-84.51657,house_number,Cornell Boulevard Southwest,Normandy Forest,Fulton County,30331,4,2,224,117,18,42,7068,57,1,25,10,4,2009,1
ROBBERY-PEDESTRIAN,92981514,445 MARKHAM ST SW,507,Castleberry Hill,M,33.75262,-84.4012,house_number,Chapel Street Southwest,Castleberry Hill,Fulton County,30313,5,4,224,13,3,14,3403,14,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92981529,JUNIPER ST NE / 8TH ST NE,503,Midtown,E,33.77952,-84.38263,amenity,8th Street Northeast,Midtown,Fulton County,30308,5,2,224,25,11,24,838,27,4,25,10,4,2009,1
LARCENY-FROM VEHICLE,92981575,2 28TH ST NW,207,Ardmore,E,33.8055,-84.3942,building,Peachtree Road,Brookwood,Fulton County,30363,2,2,224,92,11,13,7069,13,6,25,10,4,2009,1
LARCENY-FROM VEHICLE,92981621,119 LUCKIE ST NW,508,Downtown,M,33.75825,-84.39018,building,Luckie Street Northwest,Five Points,Fulton County,30303,5,2,224,5,3,9,7070,9,4,25,10,4,2009,1
AGG ASSAULT,92971930,275 PRYOR ST SW,512,Downtown,M,33.74747,-84.39415,amenity,Pryor Street Southwest,South Downtown,Fulton County,30303,5,5,225,5,3,41,1812,40,4,24,10,4,2009,1
BURGLARY-RESIDENCE,92972008,1903 DREW DR NW,110,West Highlands,G,33.79214,-84.44947,house_number,West Highland Drive Northwest,West Highland,Fulton County,30318,1,7,225,93,22,25,2601,28,5,24,10,4,2009,1
AUTO THEFT,92972042,1890 SYLVAN RD SW,306,Sylvan Hills,X,33.70328,-84.41797,house_number,Bridgewater Street Southwest,Sylvan Hills,Fulton County,30310,3,1,225,39,2,38,7071,42,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92972169,1055 BRADY AVE NW,501,Home Park,E,33.78294,-84.41296,house_number,11th Street Northwest,Howell Station,Fulton County,30318,5,2,225,46,11,58,6279,48,4,24,10,4,2009,1
LARCENY-FROM VEHICLE,92972189,740 SIDNEY MARCUS BLVD NE,211,Lindbergh/Morosgo,B,33.82598,-84.36335,road,Sidney Marcus Boulevard Northeast,Lindbergh,Fulton County,30324,2,2,225,8,7,8,1628,8,6,24,10,4,2009,1
AUTO THEFT,92972211,565 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74651,-84.40675,house_number,Greensferry Avenue Southwest,Atlanta University Center,Fulton County,30314,1,1,225,14,1,15,333,15,5,24,10,4,2009,1
LARCENY-FROM VEHICLE,92962362,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38992,house_number,Luckie Street Northwest,Five Points,Fulton County,30303,5,2,225,5,3,9,102,9,4,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92962372,490 GLENN STREET SW,303,Mechanicsville,V,33.73805,-84.40262,house_number,Glenn Street Southwest,Mechanicsville,Fulton County,30312,3,4,225,9,8,10,441,10,2,24,10,4,2009,1
BURGLARY-RESIDENCE,92970020,565 WELLS ST SW,303,Mechanicsville,V,33.74005,-84.40649,house_number,Wells Street Southwest,Mechanicsville,Fulton County,30312,3,7,225,9,8,10,3493,10,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970114,92 6TH ST,505,Midtown,E,33.77736,-84.38442,house_number,Peachtree Street Northeast,Midtown,Fulton County,30308,5,2,225,25,11,24,344,26,4,24,10,4,2009,1
AUTO THEFT,92970137,766 REED ST SE,304,Summerhill,V,33.73373,-84.38519,house_number,Reed Street Southeast,Peoplestown,Fulton County,30315,3,1,225,56,8,11,7072,36,2,24,10,4,2009,1
BURGLARY-RESIDENCE,92970146,505 ANGIER AVE NE,603,Old Fourth Ward,M,33.76621,-84.3707,house_number,Angier Avenue Northeast,Hotel District,Fulton County,30308,6,7,225,3,3,5,7073,61,3,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92970190,990 DREWRY ST NE,601,Virginia Highland,F,33.77811,-84.35275,amenity,Drewry Street Northeast,Virginia Highland,Fulton County,30306,6,4,225,69,16,62,3910,32,3,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970197,SIMPSON ST NW @ W PEACHTREE STREET,508,Downtown,M,33.76331,-84.38754,house_number,Simpson Street Northwest,Hotel District,Fulton County,30308,5,2,225,5,3,5,203,9,4,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970201,75 MARTIN L KING JR DR SW,511,Downtown,M,33.75119,-84.38996,amenity,Martin Luther King Junior Drive Southwest,South Downtown,Fulton County,30303,5,2,225,5,3,41,381,25,4,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92970311,2072 SYLVAN CIR SW,306,Sylvan Hills,X,33.70123,-84.41579,house_number,Sylvan Circle Southwest,Forrest Park,Fulton County,30310,3,4,225,39,2,45,7074,42,2,24,10,4,2009,1
LARCENY-NON VEHICLE,92970372,1715 DEFOOR AVE NW,204,Underwood Hills,D,33.80186,-84.41965,house_number,Defoor Avenue Northwest,Woodward,Fulton County,30318,2,3,225,85,15,27,3086,29,6,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92970425,370 NORTHSIDE DR NW,103,English Avenue,L,33.76527,-84.40498,house_number,Western Avenue Northwest,English Ave.,Fulton County,30314,1,4,225,37,17,22,62,39,5,24,10,4,2009,1
BURGLARY-RESIDENCE,92970457,829 WHITE ST SW,401,West End,T,33.73245,-84.41495,house_number,White Street Southwest,West End,Fulton County,30310,4,7,225,1,1,1,7075,1,1,24,10,4,2009,1
LARCENY-NON VEHICLE,92970462,3700 SOUTHSIDE INDUSTRIAL PKWY SE,313,Blair Villa/Poole Creek,Z,33.65315,-84.37142,building,Southside Industrial Way Southeast,Gilbert Gardens,Fulton County,30304,3,3,225,80,20,70,7076,55,2,24,10,4,2009,1
AGG ASSAULT,92970465,1450 DONNELLY AVE.,402,West End,T,33.73772,-84.43479,house_number,Donnelly Avenue Southwest,West End,Fulton County,30310,4,5,225,1,1,1,1674,35,1,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92970488,24 VANIRA AVE SE,304,Peoplestown,V,33.72951,-84.38716,house_number,Vanira Avenue Southeast,Peoplestown,Fulton County,30315,3,4,225,34,8,11,7077,36,2,24,10,4,2009,1
AUTO THEFT,92970504,1866 BRANDYWINE ST SW,306,Sylvan Hills,X,33.70392,-84.41681,house_number,Brandywine Street Southwest,Sylvan Hills,Fulton County,30310,3,1,225,39,2,38,7078,42,2,24,10,4,2009,1
AUTO THEFT,92970534,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678,house_number,Astor Avenue Southwest,Forrest Park,Fulton County,30310,3,1,225,39,2,45,97,42,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970608,640 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.77184,-84.35262,house_number,North Highland Avenue Northeast,Linwood,Fulton County,30306,6,2,225,64,5,30,7079,6,3,24,10,4,2009,1
LARCENY-NON VEHICLE,92970653,80 JESSE HILL JR DR NE,510,Downtown,M,33.75657,-84.38034,amenity,Jesse Hill Junior Drive,Sweet Auburn,Fulton County,30303,5,3,225,5,3,26,771,30,4,24,10,4,2009,1
BURGLARY-NONRES,92970658,231 TENNESSEE AVE SW,303,Mechanicsville,V,33.73421,-84.39556,house_number,Tennessee Avenue Southwest,Mechanicsville,Fulton County,30315,3,8,225,9,8,10,7080,10,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970663,43 25TH ST NW,207,Brookwood,E,33.80108,-84.39493,house_number,25th Street Northwest,Brookwood,Fulton County,30309,2,2,225,12,11,13,7081,13,6,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970719,890 GLENDALE TER NE,506,Midtown,E,33.77925,-84.37653,house_number,Glendale Terrace Northeast,Midtown,Fulton County,30309,5,2,225,25,11,24,7082,56,4,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970741,961 AMSTERDAM AVE NE,601,Virginia Highland,F,33.78736,-84.35557,amenity,North Highland Avenue Northeast,Virginia Highland,Fulton County,30306,6,2,225,69,16,62,7083,32,3,24,10,4,2009,1
AUTO THEFT,92970753,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822,house_number,Lenox Road,The Hill,Fulton County,30324,2,1,225,20,7,20,123,21,6,24,10,4,2009,1
AGG ASSAULT,92970782,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292,house_number,Etheridge Drive Northwest,Carey Park,Fulton County,30318,1,5,225,75,22,40,452,53,5,24,10,4,2009,1
AUTO THEFT,92970801,3843 JONESBORO RD SE,313,South River Gardens,Z,33.64933,-84.36635,amenity,Jonesboro Road Southeast,Doral Park,Fulton County,30354,3,1,225,63,20,55,6577,55,2,24,10,4,2009,1
LARCENY-NON VEHICLE,92970812,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,amenity,Alabama Street Southwest,Five Points,Fulton County,30303,5,3,225,5,3,9,139,25,4,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970820,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75961,-84.37127,building,John Wesley Dobbs Avenue Northeast,Sweet Auburn,Fulton County,30312,6,2,225,3,3,26,46,3,3,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92970845,1726 LISBON DR SW,306,Sylvan Hills,X,33.70766,-84.41199,house_number,Lisbon Drive Southwest,Sylvan Hills,Fulton County,30310,3,4,225,39,2,38,7084,42,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970856,1829 VENETIAN DR SW,408,Venetian Hills,S,33.71495,-84.44766,house_number,Venetian Drive Southwest,Adams Park,Fulton County,30311,4,2,225,43,21,4,7085,46,1,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970880,1030 MCMILLAN ST NW,501,Home Park,E,33.78287,-84.40443,house_number,McMillan Street Northwest,Howell Station,Fulton County,30318,5,2,225,46,11,58,7086,48,4,24,10,4,2009,1
AGG ASSAULT,92970887,793 KENNEDY ST NW,103,English Avenue,L,33.7683,-84.41325,house_number,Kennedy Street Northwest,English Ave.,Fulton County,30318,1,5,225,37,17,22,7087,39,5,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970930,SPRING ST NW / 8TH ST NW,503,Midtown,E,33.7795,-84.38881,building,Spring Street Northwest,Midtown,Fulton County,30308,5,2,225,25,11,24,923,27,4,24,10,4,2009,1
AGG ASSAULT,92970937,2959 FORREST HILLS DR SW,311,Hammond Park,X,33.67414,-84.39962,house_number,Forrest Hills Drive Southwest,Hammond Park,Fulton County,30315,3,5,225,68,2,50,3743,58,2,24,10,4,2009,1
BURGLARY-RESIDENCE,92970939,1195 MILTON TERR.,305,Chosewood Park,Y,33.72186,-84.38105,house_number,Milton Terrace Southeast,Roseland,Fulton County,30315,3,7,225,15,12,16,2560,16,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92970980,725 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77343,-84.36351,house_number,Ford Place Northeast,Linwood,Fulton County,30306,6,2,225,64,5,30,535,6,3,24,10,4,2009,1
ROBBERY-COMMERCIAL,92970988,484 MORELAND AVE NE;,602,Inman Park,N,33.76754,-84.34948,house_number,Moreland Avenue Northeast,Little Five Points,Fulton County,30307,6,11,225,6,5,6,6499,6,3,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92971112,1056  AUSTIN,602,Inman Park,N,33.76271,-84.3527,building,Austin Avenue Northeast,Little Five Points,Fulton County,30307,6,4,225,6,5,6,7088,6,3,24,10,4,2009,1
BURGLARY-RESIDENCE,92971181,606 WILLARD AVE SW,404,Westview,T,33.73877,-84.43693,house_number,Willard Avenue Southwest,Westview,Fulton County,30310,4,7,225,32,1,18,7089,19,1,24,10,4,2009,1
LARCENY-NON VEHICLE,92971187,375 18TH ST NW,501,Atlantic Station,E,33.79163,-84.40099,building,17th Street Northwest,Atlantic Station,Fulton County,30363,5,3,225,50,11,47,717,48,4,24,10,4,2009,1
LARCENY-NON VEHICLE,92971313,942 CREW ST SW,304,Peoplestown,V,33.72913,-84.38919,house_number,Crew Street Southwest,Peoplestown,Fulton County,30315,3,3,225,34,8,11,7090,36,2,24,10,4,2009,1
LARCENY-FROM VEHICLE,92971376,1942 SYLVAN RD SW,306,Sylvan Hills,X,33.70235,-84.41793,house_number,Sylvan Road,Forrest Park,Fulton County,30310,3,2,225,39,2,45,6643,42,2,24,10,4,2009,1
ROBBERY-PEDESTRIAN,92971386,PEACHTREE ST. @ MITCHELL ST.,507,Castleberry Hill,M,33.7506,-84.39706,house_number,Trinity Avenue Southwest,South Downtown,Fulton County,30303,5,4,225,13,3,41,319,14,4,24,10,4,2009,1
LARCENY-FROM VEHICLE,92971436,56 HOWARD ST SE,610,Kirkwood,O,33.7507,-84.32309,amenity,Howard Street Southeast,Kirkwood,DeKalb County,30317,6,2,225,61,10,54,7091,54,3,24,10,4,2009,1
LARCENY-NON VEHICLE,92971447,725 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77343,-84.36351,house_number,Ford Place Northeast,Linwood,Fulton County,30306,6,3,225,64,5,30,535,6,3,24,10,4,2009,1
LARCENY-FROM VEHICLE,92971460,946 PARSONS ST SW,104,Ashview Heights,T,33.75093,-84.41851,house_number,Parsons Street Southwest,Atlanta University Center,Fulton County,30314,1,2,225,44,1,15,7092,47,5,24,10,4,2009,1
LARCENY-NON VEHICLE,92971483,2020 CAMPBELLTON RD SW,409,Adams Park,R,33.70653,-84.45745,house_number,Delowe Drive Southwest,Adams Park,Fulton County,30311,4,3,225,16,4,4,1061,17,1,24,10,4,2009,1
